TF	binding_mass	weighted_mass	n_targets	log2_weight_change	top_cluster	top_organ	atlas_informed	symbol
AT3G50060	1419.135	1272.7458	2835	-0.157		(not in atlas set)	False	MYB77
AT3G50260	2212.4409	1994.4356	4132	-0.1496	seedling_15d_14	seedling_15d	True	ATERF#011
AT3G50410	1307.0	1212.3978	2614	-0.1083		(not in atlas set)	False	OBP1
AT3G50700	563.3264	518.9886	1129	-0.118		(not in atlas set)	False	AtIDD2
AT3G51080	157.0	142.925	314	-0.1346		(not in atlas set)	False	GATA6
AT3G51470	191.0	163.1637	382	-0.226		(not in atlas set)	False	
AT3G52440	2072.6681	1891.364	4058	-0.132		(not in atlas set)	False	
AT3G53200	1403.3867	1252.0459	2866	-0.1645		(not in atlas set)	False	AtMYB27
AT3G55370	2360.0445	2144.9134	4563	-0.1378		(not in atlas set)	False	OBP3
AT3G56850	1685.9533	1534.28	3360	-0.1359		(not in atlas set)	False	AREB3
AT3G57230	182.9829	167.1543	379	-0.1298		(not in atlas set)	False	AGL16
AT3G57600	177.0	158.871	354	-0.155		(not in atlas set)	False	
AT3G57920	1233.2276	1106.9152	2471	-0.1558		(not in atlas set)	False	SPL15
AT3G58630	302.6934	284.0331	634	-0.0915		(not in atlas set)	False	
AT3G60490	1374.3375	1248.206	2755	-0.1388		(not in atlas set)	False	
AT3G60530	567.5	530.991	1135	-0.0958		(not in atlas set)	False	GATA4
AT3G60580	1075.5	997.485	2151	-0.1085		(not in atlas set)	False	
AT3G61120	83.0	74.012	166	-0.1633		(not in atlas set)	False	AGL13
AT3G61150	1409.4982	1230.6739	2835	-0.1956		(not in atlas set)	False	HD-GL2-1
AT3G61250	298.5	265.1596	597	-0.1703		(not in atlas set)	False	AtMYB17
AT3G62420	1669.5	1515.1974	3339	-0.1398		(not in atlas set)	False	ATBZIP53
AT4G00250	1178.5	1080.3188	2357	-0.1254		(not in atlas set)	False	
AT4G00730	1421.12	1230.426	2852	-0.2077		(not in atlas set)	False	AHDP
AT4G01250	1452.0	1300.1797	2904	-0.1592		(not in atlas set)	False	AtWRKY22
AT4G01280	1972.3395	1755.1219	3789	-0.1682		(not in atlas set)	False	
AT4G01500	389.0	348.7331	778	-0.1572		(not in atlas set)	False	NGA4
AT4G01540	2458.71	2224.2515	4857	-0.1445		(not in atlas set)	False	ANAC068
AT4G01550	1231.5	1078.208	2463	-0.1916		(not in atlas set)	False	ANAC069
AT4G01680	1250.5	1120.8136	2501	-0.1578		(not in atlas set)	False	AtMYB55
AT4G01720	171.7196	155.3083	349	-0.144		(not in atlas set)	False	AtWRKY47
AT4G04450	174.0311	159.0836	349	-0.1288	rosette_21d_15	rosette_21d	True	AtWRKY42
AT4G05100	785.0	695.4627	1570	-0.1745		(not in atlas set)	False	AtMYB74
AT4G06746	765.4196	691.8112	1528	-0.1457		(not in atlas set)	False	DEAR5
AT4G10350	1401.0	1198.2368	2802	-0.2254		(not in atlas set)	False	ANAC070
AT4G11660	945.0449	852.3595	1900	-0.1488		(not in atlas set)	False	AT-HSFB2B
