kind	split	from_time	from_value	to_time	to_value	TF	coeff	avg_branch	avg_other	diff	score
2way	5	0.153	0.809			AT1G51700	-0.0	0.074	0.143	0.069	0.066
2way	5	0.153	0.809			AT1G28470	0.369	0.126	0.062	-0.064	0.069
2way	5	3.62	1.369			AT1G28470	-0.0	0.5	0.275	-0.225	0.069
2way	5	0.153	0.809			AT2G33710	-0.0	0.104	0.18	0.076	0.07
2way	5	0.153	0.809			AT1G06180	-0.0	0.081	0.031	-0.05	0.071
2way	5	0.153	0.809			AT3G47500	-0.022	0.081	0.155	0.074	0.073
2way	5	0.153	0.809			AT1G30490	0.542	0.163	0.093	-0.07	0.079
2way	5	0.153	0.809			AT2G28920	-0.0	0.03	0.081	0.051	0.079
2way	5	0.153	0.809			AT2G20400	-0.0	0.119	0.199	0.08	0.081
2way	5	0.153	0.809			AT1G34670	-0.0	0.17	0.099	-0.071	0.085
2way	5	0.153	0.809			AT1G73730	0.889	0.052	0.012	-0.039	0.085
2way	5	0.153	0.809			AT1G28370	-0.0	0.126	0.205	0.079	0.087
2way	5	3.62	1.369			AT5G14960	-0.0	0.182	0.058	-0.124	0.093
2way	5	0.153	0.809			AT3G02150	-0.0	0.022	0.0	-0.022	0.094
2way	5	0.153	0.809			AT3G10480	0.226	0.148	0.081	-0.067	0.094
2way	5	0.153	0.809			AT3G04030	-0.0	0.104	0.174	0.07	0.096
2way	5	0.153	0.809			AT3G47600	-0.0	0.037	0.006	-0.031	0.096
2way	5	0.153	0.809			AT3G23220	-0.0	0.022	0.068	0.046	0.097
2way	5	0.153	0.809			AT5G62320	-0.0	0.096	0.043	-0.053	0.102
2way	5	3.62	1.369			AT3G28920	-0.664	0.045	0.203	0.157	0.106
2way	5	3.62	1.369			AT1G55110	-0.0	0.0	0.13	0.13	0.107
2way	5	3.62	1.369			AT1G68550	-0.0	0.0	0.13	0.13	0.107
2way	5	3.62	1.369			AT2G33710	-0.0	0.0	0.13	0.13	0.107
2way	5	3.62	1.369			AT2G42430	-0.0	0.0	0.13	0.13	0.107
2way	5	3.62	1.369			AT2G44940	-0.0	0.0	0.13	0.13	0.107
2way	5	3.62	1.369			AT3G10800	-0.258	0.0	0.13	0.13	0.107
2way	5	3.62	1.369			AT3G20310	-0.0	0.0	0.13	0.13	0.107
2way	5	3.62	1.369			AT3G56850	-0.0	0.0	0.13	0.13	0.107
2way	5	3.62	1.369			AT3G60490	-0.0	0.0	0.13	0.13	0.107
2way	5	0.153	0.809			AT1G12260	0.002	0.156	0.093	-0.062	0.111
2way	5	3.62	1.369			AT1G28160	-0.0	0.0	0.145	0.145	0.111
2way	5	3.62	1.369			AT1G78700	-0.68	0.0	0.145	0.145	0.111
2way	5	3.62	1.369			AT2G02070	-1.096	0.0	0.145	0.145	0.111
2way	5	3.62	1.369			AT2G23340	-0.511	0.0	0.145	0.145	0.111
2way	5	3.62	1.369			AT5G64750	-0.0	0.0	0.145	0.145	0.111
2way	5	3.62	1.369			AT5G66700	-0.375	0.0	0.145	0.145	0.111
2way	5	0.153	0.809			AT3G10030	-0.182	0.03	0.075	0.045	0.121
2way	5	0.153	0.809			AT2G40740	0.295	0.133	0.075	-0.059	0.122
2way	5	0.153	0.809			AT2G43000	-0.64	0.133	0.205	0.072	0.123
2way	5	0.153	0.809			AT5G52660	-0.398	0.133	0.205	0.072	0.123
2way	5	3.62	1.369			AT1G65910	0.36	0.227	0.087	-0.14	0.126
2way	5	0.153	0.809			AT2G38090	-0.0	0.0	0.025	0.025	0.128
